Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDB53,OUT046,2396.3768809684025
DRP47,OUT019,591.8196234198579
FDA14,OUT013,2459.565493967692
DRC24,OUT035,2557.497314349232
FDW21,OUT018,1414.3581280390165
NCH29,OUT046,1656.1241410165646
FDU58,OUT013,3001.6574793015125
FDY27,OUT017,2900.714151674562
FDV56,OUT035,1856.3206667559132
FDT59,OUT046,3684.8350912140595
FDB23,OUT046,3607.44224639109
FDR49,OUT045,753.8739991597308
FDB03,OUT010,609.2641146659068
FDN39,OUT045,2873.031999033585
FDX02,OUT027,5784.112902966537
FDQ16,OUT027,2781.2486443681432
FDU35,OUT018,1462.3386902405493
NCT29,OUT013,1951.781563359974
FDZ27,OUT046,809.0085533699435
FDN57,OUT017,2230.928094213234
FDA03,OUT018,1978.2476900813863
FDZ36,OUT045,3082.416999874038
NCU05,OUT013,1277.3237237098506
FDT39,OUT018,2212.0440361386095
FDK60,OUT017,1573.106562312439
FDZ25,OUT017,2969.733071115674
FDG12,OUT046,2143.059596382639
DRB01,OUT019,499.71419247699464
NCC43,OUT027,6100.792010592595
FDX13,OUT019,587.3973691132026
FDM22,OUT049,875.6465815651659
FDJ03,OUT027,1428.0767390017065
FDU14,OUT018,3454.074177247605
FDB33,OUT010,379.80507558565574
FDP27,OUT046,3279.1493191619916
FDO38,OUT010,187.67545078704362
FDE28,OUT027,6129.11412255965
FDO27,OUT035,1586.0242757296874
DRL23,OUT027,2726.818910799997
FDS28,OUT046,914.5114557679569
FDX24,OUT013,1433.168914018957
FDZ02,OUT035,1626.3788660922382
FDL46,OUT045,1780.2029454811245
FDS60,OUT027,4981.928211174225
NCO06,OUT017,612.553339459154
FDO16,OUT035,1446.5521019846146
FDC60,OUT049,1385.1592041172191
FDA48,OUT018,3519.2490055577405
FDZ36,OUT027,4973.016888386679
FDK27,OUT045,1923.083176377455
FDW23,OUT018,524.6025938787088
FDM14,OUT018,1507.8003876069247
FDM14,OUT013,1856.7723318577423
FDW60,OUT018,2720.847872402513
FDE21,OUT013,1952.4881872776396
NCM42,OUT035,1765.65980225393
FDY59,OUT010,207.61169547819893
DRI49,OUT049,1340.0775015209706
FDT28,OUT019,330.00853536055257
FDQ22,OUT018,509.3509634039871
FDR60,OUT049,1270.5735826016657
FDC50,OUT019,254.09210327916975
FDV24,OUT013,2286.5284967505763
DRF48,OUT010,494.2439126104806
FDQ47,OUT046,672.1602480226788
DRN36,OUT049,1579.3642411627097
NCY06,OUT035,2094.486554007631
FDE52,OUT035,1477.268274495856
NCB54,OUT045,1974.6320999247973
NCF31,OUT035,2574.8378559170724
FDJ08,OUT027,5187.2914741025825
NCC07,OUT017,1688.0478961165747
NCD19,OUT027,1594.2489166263415
FDL46,OUT049,2015.279133733707
FDM20,OUT045,3864.5976766543877
NCI06,OUT010,434.1962602823693
DRM11,OUT035,4022.930037002164
NCH07,OUT018,2364.7817196784563
FDS23,OUT013,1965.6977763847158
FDO49,OUT018,665.6549752086731
FDS35,OUT049,1058.4474300828153
DRK39,OUT045,1392.332212128745
DRI39,OUT049,918.2647031900373
FDV04,OUT017,2603.8013669718753
NCN14,OUT035,2991.1636202633636
FDH08,OUT013,3960.1375612648803
FDS20,OUT046,2883.3133922207903
FDV40,OUT049,1251.1913989101342
FDZ48,OUT010,230.2617519813439
FDS24,OUT027,2510.7617767466754
FDK44,OUT049,2949.9162047137784
FDS48,OUT045,2497.8943678975634
FDK26,OUT010,512.162356321514
FDD23,OUT045,2955.115228862684
NCH54,OUT017,2675.1126211972605
NCP14,OUT010,233.01931942119558
FDM60,OUT010,105.45944998320584
FDV24,OUT017,2490.279316033619
FDH08,OUT018,3367.003466086028
FDS12,OUT027,3279.6920477009103
FDR39,OUT027,4988.737930301552
FDP12,OUT027,1106.1136837952708
DRF60,OUT027,6206.465207822025
FDC09,OUT035,1734.5013780908773
FDF50,OUT018,3092.6495602337895
FDG28,OUT035,4100.737019784323
NCE19,OUT017,867.0191979658962
NCM53,OUT010,224.82570910500718
NCN18,OUT049,1804.0511962338317
FDF32,OUT035,3221.501912040119
FDF11,OUT013,3836.115198598333
DRI59,OUT049,4031.4984277890976
NCG54,OUT035,2930.1886657009945
FDM44,OUT046,1746.958167385025
FDT57,OUT018,3405.1333259473504
FDV24,OUT046,2304.6502694517308
FDI50,OUT019,611.7147232353614
FDS09,OUT035,807.704277884399
NCC31,OUT027,4021.3119160983506
FDQ07,OUT019,553.2172647590774
FDC22,OUT017,3302.284477900558
FDZ56,OUT046,2649.8759845782374
FDZ40,OUT019,154.65802644123266
FDS46,OUT027,3018.835359897884
DRD24,OUT045,2171.7402572406295
FDV45,OUT017,2996.9525177058836
FDL26,OUT045,2558.131973338679
FDA56,OUT018,1798.511619919693
FDN27,OUT046,1981.7621763952225
FDM20,OUT049,4386.60239435089
FDO16,OUT017,1395.5683919185321
FDL03,OUT035,3087.174330047423
FDE58,OUT046,1916.1541392787212
FDI02,OUT027,2949.9166907078966
NCC55,OUT019,102.10146020940664
FDR03,OUT018,2891.2201966362154
FDB14,OUT017,1432.5401580712503
FDR45,OUT013,4108.576641929226
NCN07,OUT017,2191.8347645765125
FDM51,OUT019,244.24216767686926
FDT52,OUT027,6148.018733741733
FDL26,OUT046,2377.7729254086835
NCZ42,OUT046,3766.238888860343
DRI47,OUT019,368.0371622444663
FDW40,OUT013,2404.6005207341486
FDN34,OUT046,2902.238170854949
FDS01,OUT035,3063.527366717479
NCG55,OUT045,1824.2251445837878
FDC11,OUT035,1334.368185678053
FDX35,OUT018,3245.6510503746845
NCB06,OUT046,2454.614365136873
FDR09,OUT019,717.9189726889666
FDC53,OUT017,1651.4720342708083
FDY45,OUT013,4283.980764194734
FDA22,OUT010,401.9935758354513
FDE02,OUT035,1633.9561162509358
FDW21,OUT045,1662.3507081123057
FDV34,OUT046,1247.4552433921883
FDS59,OUT049,1871.1493658392706
NCW17,OUT017,2179.042253026303
NCK54,OUT046,1983.4364568242747
FDG17,OUT019,565.3875948492047
FDG35,OUT017,2924.022643647568
FDD08,OUT010,111.05087120901227
NCO07,OUT017,3774.450424200454
FDJ10,OUT010,372.75013725653434
FDW36,OUT017,1769.688794945346
FDW21,OUT010,229.71633676462497
FDY19,OUT017,1887.3057577552681
DRE03,OUT013,687.1301556908965
NCC55,OUT049,718.5152679801957
FDH52,OUT010,151.99273483991428
FDO09,OUT017,4093.0046323309416
FDU43,OUT045,3968.63379602659
FDX09,OUT010,425.39505004830806
FDH40,OUT019,213.73612835705026
FDW58,OUT017,1694.6370822738047
FDC47,OUT017,3744.843035800459
NCR41,OUT035,1502.1236070768978
DRG49,OUT035,3871.4336710619896
FDC52,OUT027,4079.6548266268455
FDY13,OUT046,1257.5845447698237
FDY35,OUT013,699.6875301506458
FDI35,OUT017,3114.6383587864875
NCU18,OUT049,2386.7135217726236
FDY33,OUT018,2401.033356076295
FDC15,OUT027,3988.063363997842
FDU01,OUT049,3091.0680368494995
NCU42,OUT046,2712.3591431394834
NCV29,OUT018,2601.60100918618
NCY30,OUT017,3067.9254300791295
FDQ46,OUT049,1789.3386135666774
FDG58,OUT027,4050.5418314382973
FDK33,OUT017,3724.8148264156534
NCD07,OUT045,1780.9352712583238
NCX29,OUT027,3709.000139087191
NCT42,OUT013,2318.4771864233135
DRN59,OUT035,715.034063170333
FDI44,OUT035,1301.9540528197583
FDA45,OUT049,2909.9313159467397
FDP31,OUT045,1117.124251507237
FDY01,OUT046,1958.814452415114
FDT09,OUT018,1780.2899557236262
DRH03,OUT027,2604.19518483909
FDA36,OUT018,2773.90087207124
NCF31,OUT017,2537.3102300337723
FDG14,OUT049,2444.38547042419
FDG28,OUT027,6141.571924450432
FDU14,OUT049,4149.782602848461
FDY47,OUT019,310.2343075452853
FDI56,OUT049,1454.8786415994232
DRD01,OUT013,765.675796335091
FDM22,OUT046,884.2222227494327
FDH33,OUT013,659.3025534837299
DRZ24,OUT013,1898.5564490143663
NCQ38,OUT046,1739.0665341388358
FDO16,OUT027,2356.4092950147037
FDU07,OUT027,3763.3772067385603
NCB07,OUT013,3035.037206831008
FDU48,OUT045,1989.2283403035
NCM43,OUT045,2810.0525908999402
FDR31,OUT010,362.5648774783206
DRK49,OUT018,510.30141468766874
NCI30,OUT010,649.4266217187916
DRD60,OUT017,3103.2236276936055
NCG19,OUT046,3590.576879782637
FDH12,OUT035,1720.6478548472303
FDM32,OUT035,1413.8923508564267
FDM27,OUT035,2727.7786220668595
NCU53,OUT027,4394.002240382608
NCQ18,OUT046,1606.1999876819757
FDS10,OUT013,3015.490739053482
FDB33,OUT027,4136.915076828939
FDI12,OUT013,1422.7190201720398
NCW42,OUT013,3392.2471346347766
NCC06,OUT018,1845.714088674907
FDW02,OUT017,2063.4796115746417
NCD43,OUT017,1751.495067653118
FDM57,OUT018,1226.1567120886646
FDA58,OUT017,3858.5817715127896
FDK56,OUT046,3050.2066460110527
FDP52,OUT045,3975.993276022703
FDW20,OUT018,1789.6644635944144
FDS52,OUT049,1682.3164386098294
NCT29,OUT018,1772.77447374179
NCL54,OUT013,3099.3922521780173
FDC05,OUT045,3096.7980673342663
FDF34,OUT035,3062.8424784477606
FDP03,OUT027,3206.0486115165136
FDD32,OUT010,180.58948898123847
FDZ10,OUT045,2030.2843049916078
FDZ40,OUT035,866.3400111161314
FDD51,OUT018,581.7324144519102
NCY30,OUT019,467.0111661358883
FDP58,OUT017,3723.2074867285514
FDV49,OUT017,4082.765951122176
FDY24,OUT019,148.45099115052966
NCO55,OUT017,1698.5743096355034
FDR13,OUT017,1966.9902351625192
FDS51,OUT017,1034.977185879038
FDP26,OUT045,1645.7233943966116
NCB54,OUT027,3303.8683332792916
FDF32,OUT017,3264.891939672207
FDN31,OUT018,2927.8261658101333
DRM48,OUT017,624.2956971858683
FDN20,OUT049,2791.9289340702508
DRL01,OUT046,3716.9192193988292
FDV56,OUT049,1829.2563470352945
DRH13,OUT027,2749.515329847555
FDA03,OUT017,2644.7766414583107
FDF47,OUT027,5771.679644020524
FDX32,OUT046,2531.997147816739
FDX57,OUT049,1633.416533526052
NCA30,OUT045,2879.1874471977153
FDO49,OUT013,747.0391698726311
FDL04,OUT019,266.26475492789297
DRM48,OUT035,642.8284910530384
FDR16,OUT013,3424.773572934413
NCC19,OUT018,3039.648186510742
NCE42,OUT045,3674.8906427652773
FDY24,OUT017,884.3597481369413
FDH19,OUT049,2864.633354448594
FDJ46,OUT013,2917.3245899388553
FDN45,OUT010,619.1031245025155
FDY08,OUT035,2329.3323841323827
FDZ37,OUT035,1415.9821277494223
NCT30,OUT045,749.952255875469
DRY23,OUT018,555.414123459296
NCZ30,OUT018,1785.0211212098898
FDC44,OUT018,1568.7426853375152
FDB45,OUT035,1687.2985512098664
FDY04,OUT013,2582.152353451383
FDM27,OUT046,2667.2250026535744
FDZ43,OUT017,4098.333968951256
FDT39,OUT019,362.12651273052717
NCC06,OUT019,313.744482651521
FDL15,OUT027,3975.1049567814985
FDL57,OUT017,4319.219871506804
FDU08,OUT046,1640.5962072231764
FDK40,OUT017,4059.6228770421067
FDQ12,OUT010,635.5550912775344
FDS48,OUT017,2540.9332963635256
FDP09,OUT045,3471.580014821891
FDW21,OUT049,1728.065871738485
FDY25,OUT035,3055.095229835827
DRE13,OUT017,1441.010153133569
FDV43,OUT019,109.28706267359324
FDD22,OUT045,1679.9968876028217
FDM46,OUT019,253.43501141240512
NCO30,OUT010,467.9123312792851
FDM25,OUT046,2843.21912877452
NCN41,OUT049,2093.164557314095
FDU24,OUT045,1510.3851213113726
FDZ50,OUT046,3045.269113902855
FDP45,OUT013,4021.7041932418792
NCM54,OUT045,1904.3669006504892
FDW10,OUT019,444.1808806813598
FDP20,OUT017,2111.5274618405183
FDK32,OUT046,2496.9990328599147
FDN52,OUT049,1363.266939118939
FDM58,OUT045,1888.7249232412835
FDZ46,OUT027,2847.441004637764
NCA18,OUT018,1707.7832503322854
FDD35,OUT046,2106.5144139785134
NCK31,OUT035,762.5074137365418
FDI40,OUT027,2704.4006245087817
FDT50,OUT019,249.37329454100626
NCT06,OUT046,2500.5324920847142
FDT31,OUT035,2946.7505512469647
FDT45,OUT049,849.8730072995257
FDT13,OUT045,2867.932300820546
FDO50,OUT045,1391.7111149954403
NCU18,OUT010,336.30971641109716
NCR54,OUT049,3183.579153094628
NCO18,OUT018,2610.6558614132086
FDU09,OUT045,852.3372836102449
FDT13,OUT018,2785.833136132542
FDE09,OUT046,1895.302077255769
NCK53,OUT019,268.39639229809785
FDG45,OUT049,3659.067317639453
DRH15,OUT035,756.5711984284727
FDO21,OUT019,609.8067007625592
FDD14,OUT027,5069.650730953568
FDC09,OUT046,1800.4520252973846
FDH45,OUT027,1235.2393405942962
FDV32,OUT046,1076.2547063822744
FDG12,OUT035,1995.4427946967585
FDS32,OUT013,2351.7683708745735
NCL55,OUT018,3558.706251836751
DRE01,OUT035,3815.0314917597007
DRE15,OUT049,1269.1737170618078
NCL42,OUT045,3803.947219744672
FDP31,OUT013,874.493430303415
FDN33,OUT018,1312.7157121757562
FDZ59,OUT046,2738.8134325345222
FDE45,OUT010,426.04225810848567
FDJ07,OUT013,1900.4361226639357
FDQ45,OUT018,2738.5409741744083
FDM33,OUT027,5603.520929410227
FDO15,OUT010,178.61884661054398
FDM46,OUT013,1492.1549362404965
FDR03,OUT045,3255.3928743717843
FDY49,OUT018,2486.3238907683144
FDQ60,OUT045,1837.2956741031508
FDW10,OUT049,2921.085303055286
FDO51,OUT049,802.1720735958046
FDJ40,OUT018,1463.4101929221113
FDS20,OUT018,2736.3292678256053
FDU45,OUT013,1946.319162578194
FDV02,OUT035,3000.4984987948696
FDN09,OUT046,3784.752926663113
NCM55,OUT027,5192.410982194382
FDN23,OUT018,1981.1748854122002
FDY31,OUT010,379.72883422062915
FDW03,OUT010,243.653216475431
FDD14,OUT046,2720.5179381640914
FDV23,OUT017,2118.049401772817
DRI03,OUT045,2817.616709725018
FDN13,OUT035,1601.7708838555584
FDF45,OUT027,1696.296128200637
FDU46,OUT035,1424.4445282766142
FDB57,OUT049,3743.9310767255865
FDV12,OUT049,1725.68340234317
FDQ58,OUT013,2321.458227071636
NCA18,OUT017,1842.5826951255842
FDH52,OUT049,1008.5138544989537
FDM24,OUT018,2148.0712632617965
NCP43,OUT027,5057.6284375248615
NCO18,OUT019,476.9053667107908
FDM32,OUT017,1386.7275692670016
NCL07,OUT017,651.7366973134517
FDK03,OUT013,4108.41422443141
FDP59,OUT017,1666.961393206256
FDQ24,OUT049,4202.829253535081
FDQ16,OUT018,1454.536864951952
FDU44,OUT013,2482.0005884415496
FDH28,OUT010,107.85617594149898
FDV28,OUT019,116.53579763984727
FDM22,OUT045,831.6136463345791
FDR56,OUT046,3111.941293771377
FDV39,OUT049,3247.414380752367
FDU37,OUT019,210.01028213279352
FDQ11,OUT010,737.04135693037
FDX02,OUT045,3532.628412617728
NCS42,OUT018,1364.464207395744
FDY57,OUT027,2659.898182396351
FDB21,OUT049,4251.66875911579
FDE28,OUT017,3938.1802455343386
FDQ55,OUT017,1967.9980006217697
FDA48,OUT049,3751.002934847867
FDZ19,OUT045,2772.402352003084
NCC43,OUT045,3880.2406797505114
NCV18,OUT046,1395.7051938907262
NCA42,OUT018,2393.399781812703
FDY45,OUT046,3733.160738635432
NCC30,OUT045,2879.877235097132
FDM57,OUT013,1418.3045035285647
FDL09,OUT010,435.4433241261154
FDB09,OUT027,3195.2328214356326
FDT44,OUT035,1843.6601215838364
NCT06,OUT027,4365.327355142298
FDX26,OUT049,3220.3104783216386
FDK32,OUT013,2350.4597776132014
DRA12,OUT046,2214.1608638925295
FDO46,OUT010,507.89453628656355
FDE52,OUT013,1396.6400179922252
NCH42,OUT045,3680.024385101627
FDV08,OUT035,706.1533114685013
FDB47,OUT018,3340.799586412195
FDC28,OUT010,241.70987409085006
FDD22,OUT046,1792.9792392329766
FDS07,OUT027,2923.9073595325603
DRI13,OUT045,3603.482076120478
FDG32,OUT018,3506.7651698542754
FDU14,OUT017,3997.346313160801
FDD28,OUT019,167.7423388100836
NCP41,OUT017,1768.4216825653036
FDS08,OUT049,2972.977138202126
FDX47,OUT045,2586.61994078732
FDC53,OUT019,263.4619939780985
FDQ19,OUT035,4149.660476229003
FDL14,OUT045,2592.0278363656203
FDM33,OUT019,556.995187100458
FDA51,OUT045,1838.3201005079081
FDZ27,OUT018,696.0401293556592
FDT04,OUT046,661.4248399139786
DRC13,OUT049,2107.4121803278176
FDR16,OUT027,5562.660290119351
FDQ03,OUT027,6175.586121998198
FDE38,OUT035,2773.2965109192055
DRH23,OUT027,1721.8651497572362
FDT11,OUT019,544.5812548320793
FDD09,OUT035,3040.6671505342797
FDR40,OUT045,1321.9027790104124
FDX07,OUT017,3114.8566029911835
FDR07,OUT035,1532.7848155517752
FDA51,OUT017,1903.738972641988
FDT59,OUT019,611.891782118453
FDF20,OUT017,3181.058880230938
FDR13,OUT045,1942.3303019631771
FDY26,OUT049,3430.574645476438
FDW04,OUT017,2062.7030480445087
FDK52,OUT017,3660.0978904760545
FDN60,OUT049,2739.4382650112366
FDM09,OUT019,444.82382913968905
FDP46,OUT049,1430.1995403979856
FDB50,OUT019,217.18322621083288
NCQ29,OUT049,4271.387790296863
FDP16,OUT027,6181.986499530375
FDX33,OUT018,2490.0513018147794
FDP07,OUT010,554.5506928484508
FDN22,OUT046,3642.946146608863
FDF39,OUT049,4076.758225040406
FDS21,OUT017,1017.9387670671781
NCM42,OUT013,1805.7630490333759
FDK50,OUT019,422.24110563298035
DRF13,OUT027,3789.3271413011894
FDH35,OUT018,2351.5586656896453
FDP60,OUT018,1383.7020806325606
DRJ49,OUT027,3268.500237793724
NCT42,OUT019,359.8196308002477
FDE38,OUT049,2898.756133127688
FDI04,OUT049,3241.5654132904724
NCH54,OUT045,2632.831434011235
FDT56,OUT049,965.5153662859758
DRD15,OUT018,3532.357857708724
FDV58,OUT013,3059.1125886934924
FDP21,OUT049,3198.5572294522444
FDH05,OUT013,3676.6660944016858
FDR10,OUT027,4287.195969865152
NCP06,OUT045,2472.9455900602047
FDF33,OUT049,1660.219167495771
DRK37,OUT013,3221.3958934723064
DRH49,OUT045,1319.8666749077543
FDT58,OUT013,2777.2709430914374
FDD41,OUT018,1454.970197580716
FDP40,OUT018,1531.9714258364925
FDM51,OUT027,2691.928257773288
FDO45,OUT010,185.00607482526027
FDW33,OUT010,229.3602611905965
FDY24,OUT045,855.8865219149452
FDB10,OUT010,636.2095370867221
FDM40,OUT035,2338.9550453975694
NCI06,OUT017,3054.4481138579094
FDW12,OUT019,340.1720063892275
FDX48,OUT027,4145.106568198768
NCW05,OUT027,2783.370789820661
FDX27,OUT017,1492.2101709660305
DRM37,OUT045,3137.18507926245
FDA38,OUT045,3915.9080483760895
FDR36,OUT046,712.1289999509089
FDZ45,OUT046,3270.8633080240274
FDG05,OUT017,2667.21002789302
FDK28,OUT013,4410.7054612819475
FDV47,OUT045,1341.7141317758294
FDN21,OUT045,2679.200894594685
FDP20,OUT027,3248.496398368231
FDI35,OUT045,2872.464274422357
DRY23,OUT013,695.6557286013901
FDA56,OUT017,2108.268936760271
FDB09,OUT013,1942.9398864624031
NCO26,OUT027,2979.0237153556836
FDQ49,OUT018,2297.9468218456973
FDI52,OUT027,3154.0777098403314
FDZ44,OUT027,2989.775155238258
FDZ09,OUT018,2363.4761827341395
FDY03,OUT049,1829.3128177407216
NCG42,OUT017,2172.1440727342033
DRI13,OUT027,5569.461383173697
FDQ32,OUT013,1947.2790620087183
FDW16,OUT035,1438.2025901053357
FDU27,OUT046,737.161368288558
FDR28,OUT010,459.6861436355993
FDQ49,OUT010,377.10761981704
FDS37,OUT046,1928.2666292422114
FDW26,OUT018,3224.397558567777
FDX12,OUT018,3242.2722049066365
NCP06,OUT013,2415.7395015875186
FDW45,OUT010,353.0283768306238
NCN30,OUT049,1526.6928494162341
FDN24,OUT049,847.6379170291442
NCL41,OUT027,1040.288005586827
FDR02,OUT019,260.99688243019403
FDD09,OUT010,452.67298757665
FDS33,OUT010,184.74922576486202
FDU22,OUT045,1826.608071695724
FDI53,OUT013,2635.1255495627865
DRH01,OUT049,2946.771226406492
FDX32,OUT013,2464.201061115443
NCP30,OUT018,511.3992518074334
FDB60,OUT045,2944.769189870521
FDB14,OUT049,1453.7387184261624
NCP02,OUT035,912.0431981626806
FDJ10,OUT017,2386.119894097661
FDG34,OUT046,2008.6339016375077
NCB18,OUT017,1343.791402770653
FDM16,OUT049,1243.056801583885
FDW25,OUT018,1330.7008200612815
FDB35,OUT010,198.016665464699
DRN11,OUT013,2390.9907338921225
FDF41,OUT019,588.4326671571894
FDH16,OUT045,1409.3520450073486
NCQ50,OUT018,3157.3183762047643
DRH23,OUT018,792.844556719379
DRJ37,OUT013,2304.778220100924
DRJ24,OUT027,5096.333407571437
FDY16,OUT035,3088.1289152835957
FDQ27,OUT045,1719.9659742357392
FDZ33,OUT045,2468.239342207888
FDF29,OUT045,2089.7178182905004
FDA08,OUT049,2788.8455297971145
FDG31,OUT046,1051.6429803436704
FDE34,OUT019,468.16678025589596
NCR30,OUT027,2104.217406443094
FDV33,OUT035,4279.401831732601
DRZ24,OUT018,1780.326705749863
NCL54,OUT035,2955.2092761687445
FDR12,OUT049,2982.104799771863
NCC54,OUT046,3713.355194540085
DRN59,OUT013,681.8783665330385
FDX50,OUT019,267.3194010064494
FDV31,OUT027,4897.748170056893
NCA29,OUT027,4857.24544478291
FDW60,OUT049,3088.604922913898
FDX08,OUT017,3114.1701848282155
DRD49,OUT013,3943.594386108165
FDD33,OUT046,3597.191854553137
FDW35,OUT013,659.6810166158263
FDJ36,OUT017,1730.4295404758661
FDV51,OUT035,3022.651692743817
FDW36,OUT046,1723.8099338049321
FDH35,OUT046,2465.2973516524858
NCS30,OUT027,3326.4999987487395
FDN49,OUT017,637.2890993114529
FDL08,OUT018,3475.9153049240895
FDI09,OUT013,3681.6846905406537
FDP19,OUT018,1902.510316352597
FDU21,OUT010,117.12277251789453
NCP41,OUT045,1663.276119813991
FDY10,OUT013,1873.9875589631258
FDP12,OUT018,514.3934266447441
NCN26,OUT049,1930.5096657626711
FDK44,OUT013,2896.8718603294756
FDC28,OUT049,1700.3792171379164
FDJ41,OUT027,6018.739045176449
NCT29,OUT035,2007.6160565948699
NCH42,OUT019,588.3729626978516
FDU60,OUT018,2468.824864597264
FDS02,OUT045,3157.6352460889043
FDC51,OUT046,2171.6974600650396
FDU03,OUT013,3015.730779827812
FDX39,OUT045,3681.7533374939476
NCY05,OUT010,123.94453408752834
NCL06,OUT027,5985.603830213772
FDD32,OUT035,1274.7073914888692
NCN41,OUT045,1887.9810926518867
NCX53,OUT049,2404.1653330941103
FDU57,OUT019,338.22481187759513
FDQ23,OUT046,1766.0891240009382
FDQ52,OUT045,3855.5294105248804
FDC14,OUT045,653.9387306441536
FDY09,OUT035,3001.3867955245646
FDQ28,OUT045,2744.886258774483
FDV25,OUT046,3544.369962958945
FDJ07,OUT035,1935.8830434545216
DRB25,OUT049,1685.864110334462
FDK52,OUT019,591.4814492354784
FDY52,OUT027,1817.2011554877172
FDB28,OUT046,3286.75608157764
FDT36,OUT035,633.5948189265022
FDV25,OUT017,3710.428292379127
NCN07,OUT027,3316.3520676310673
FDC57,OUT017,3103.6044283982737
FDQ03,OUT018,3351.4666044106543
FDU23,OUT017,2751.767049446319
NCX41,OUT035,3641.607997253772
NCD06,OUT035,738.1331919333493
FDW08,OUT045,1640.8017733763115
NCU29,OUT017,2446.158508515391
NCE06,OUT013,2438.980613311744
FDV52,OUT010,241.29698955936044
FDB02,OUT017,2881.8291590544472
NCR18,OUT045,672.5194435040014
FDK16,OUT049,1516.2040060606378
NCQ29,OUT010,693.04917859472
FDZ01,OUT019,243.12465814894094
FDW27,OUT035,2617.1789140984292
FDD17,OUT018,3377.9388711231786
FDW39,OUT013,2886.2896053899854
DRH59,OUT045,1197.5359038290082
FDS52,OUT013,1706.584986437926
FDU40,OUT027,5313.537806784415
NCF54,OUT013,2800.4039541211387
FDH46,OUT045,1674.1031514348547
NCP14,OUT049,1646.0353942629922
FDH50,OUT049,3167.2212748453694
DRF15,OUT010,358.15715994158796
FDV27,OUT027,2518.4438539357816
NCJ06,OUT049,2051.8737236385987
FDN02,OUT018,3170.5973733480123
FDQ51,OUT049,828.99627601472
FDQ07,OUT017,3898.8290834228073
FDS45,OUT049,1768.9989642484268
NCJ06,OUT045,1956.86169198608
FDD36,OUT035,1925.58589363802
FDY25,OUT045,2905.9753013742315
FDU52,OUT046,2311.4001686070883
DRK47,OUT017,3771.6159556901844
NCL30,OUT017,2134.592887494384
FDN22,OUT035,3924.329262773419
NCF30,OUT027,3251.6617284014433
FDK03,OUT035,4245.831121420933
FDT45,OUT017,880.2211304903342
NCC54,OUT027,6154.093366680728
FDP08,OUT018,2943.3578923351683
